cells,characters,dropout,mutationrate,rep,method,#branches,#FN,#FP,#TP,FN_rate,FP_rate,TP_rate,parsimony-score,time,normalized-parsimony-score
50,10,0.15,0.1,6,startle_nni,48,7,46,2,0.777778,0.958333,0.041667,90.10,3.40,1.153058612746352700281545943
50,10,0.15,0.1,6,startle_nni_python,14,4,9,5,0.444444,0.642857,0.357143,79.98,104.57,1.023547478884054261581776299
50,10,0.15,0.1,6,startle_ilp,15,2,8,7,0.222222,0.533333,0.466667,77.16,13.23,0.9874584079856667519836191451
50,10,0.15,0.1,6,laml,48,7,46,2,0.777778,0.958333,0.041667,85.71,206.51,1.096877399539288456616329665
50,10,0.15,0.1,6,paup,12,2,5,7,0.222222,0.416667,0.583333,74.60,1.43,0.9546966982339390836959303814
50,10,0.15,0.1,6,star_cdp,48,2,41,7,0.222222,0.854167,0.145833,72.77,3.54,0.9312771947786025083184028666
50,10,0.15,0.1,6,star_cdp-rand,48,2,41,7,0.222222,0.854167,0.145833,72.77,3.52,0.9312771947786025083184028666
50,10,0.15,0.1,6,paup-sc,4,6,1,3,0.666667,0.25,0.75,157.50,,2.015613002303557716918351676
50,10,0.15,0.1,6,star_cdp-sc,8,2,1,7,0.222222,0.125,0.875,123.22,,1.576913232659329408753519324
50,10,0.15,0.1,6,ground-truth,9,0,0,9.0,0.0,0.0,1,78.14,,1
50,10,0.15,0.1,7,cassiopeia-greedy,26,5,20,6,0.454545,0.769231,0.230769,71.25,6.68,1.030965128056721169150629431
50,10,0.15,0.1,7,startle_nni,48,8,45,3,0.727273,0.9375,0.0625,74.58,3.40,1.079149182462740558529879902
50,10,0.15,0.1,7,startle_nni_python,16,7,12,4,0.636364,0.75,0.25,69.11,65.90,1
50,10,0.15,0.1,7,startle_ilp,15,7,11,4,0.636364,0.733333,0.266667,66.70,11.32,0.9651280567211691506294313413
50,10,0.15,0.1,7,laml,48,8,45,3,0.727273,0.9375,0.0625,69.02,456.73,0.9986977282592967732600202576
50,10,0.15,0.1,7,paup,17,6,12,5,0.545455,0.705882,0.294118,66.70,1.44,0.9651280567211691506294313413
50,10,0.15,0.1,7,star_cdp,48,5,42,6,0.454545,0.875,0.125,58.29,4.36,0.8434379973954565185935465200
50,10,0.15,0.1,7,star_cdp-rand,48,6,43,5,0.545455,0.895833,0.104167,58.29,4.41,0.8434379973954565185935465200
50,10,0.15,0.1,7,paup-sc,2,9,0,2,0.818182,0.0,1.0,176.26,,2.550426855737230502098104471
50,10,0.15,0.1,7,star_cdp-sc,8,8,5,3,0.727273,0.625,0.375,103.69,,1.500361742150195340761105484
50,10,0.15,0.1,7,ground-truth,11,0,0,11.0,0.0,0.0,1,69.11,,1
50,10,0.15,0.1,8,cassiopeia-greedy,25,6,23,2,0.75,0.92,0.08,35.81,5.21,1
50,10,0.15,0.1,8,startle_nni,48,6,46,2,0.75,0.958333,0.041667,41.35,3.63,1.154705389555989946942194918
50,10,0.15,0.1,8,startle_nni_python,,,,,,,,,47.01,
50,10,0.15,0.1,8,startle_ilp,12,2,6,6,0.25,0.5,0.5,35.81,12.93,1
50,10,0.15,0.1,8,laml,48,4,44,4,0.5,0.916667,0.083333,35.87,626.35,1.001675509634180396537280089
50,10,0.15,0.1,8,paup,11,4,7,4,0.5,0.636364,0.363636,35.81,1.47,1
50,10,0.15,0.1,8,star_cdp,48,4,44,4,0.5,0.916667,0.083333,32.30,3.23,0.9019826864004468025691147724
50,10,0.15,0.1,8,star_cdp-rand,48,2,42,6,0.25,0.875,0.125,32.30,3.23,0.9019826864004468025691147724
50,10,0.15,0.1,8,paup-sc,0,8,0,0,1.0,inf,inf,166.10,,4.638369170622731080703714046
50,10,0.15,0.1,8,star_cdp-sc,7,4,3,4,0.5,0.428571,0.571429,40.89,,1.141859815693940240156380899
50,10,0.15,0.1,8,ground-truth,8,0,0,8.0,0.0,0.0,1,35.81,,1
50,10,0.15,0.1,9,cassiopeia-greedy,26,4,21,5,0.444444,0.807692,0.192308,44.36,5.25,1
50,10,0.15,0.1,9,startle_nni,48,4,43,5,0.444444,0.895833,0.104167,44.36,3.55,1
50,10,0.15,0.1,9,startle_nni_python,,,,,,,,,58.88,
50,10,0.15,0.1,9,startle_ilp,15,4,10,5,0.444444,0.666667,0.333333,44.36,11.88,1
50,10,0.15,0.1,9,laml,48,4,43,5,0.444444,0.895833,0.104167,44.36,564.04,1
50,10,0.15,0.1,9,paup,14,3,8,6,0.333333,0.571429,0.428571,44.36,1.51,1
50,10,0.15,0.1,9,star_cdp,48,3,42,6,0.333333,0.875,0.125,44.36,3.36,1
50,10,0.15,0.1,9,star_cdp-rand,48,3,42,6,0.333333,0.875,0.125,44.36,3.38,1
50,10,0.15,0.1,9,paup-sc,2,7,0,2,0.777778,0.0,1.0,96.83,,2.182822362488728584310189360
50,10,0.15,0.1,9,star_cdp-sc,8,5,4,4,0.555556,0.5,0.5,46.39,,1.045761947700631199278629396
50,10,0.15,0.1,9,ground-truth,9,0,0,9.0,0.0,0.0,1,44.36,,1
50,10,0.15,0.1,10,cassiopeia-greedy,29,3,25,4,0.428571,0.862069,0.137931,72.87,5.67,1.045480631276901004304160689
50,10,0.15,0.1,10,startle_nni,48,2,43,5,0.285714,0.895833,0.104167,69.70,3.41,1
50,10,0.15,0.1,10,startle_nni_python,,,,,,,,,49.02,
50,10,0.15,0.1,10,startle_ilp,11,2,6,5,0.285714,0.545455,0.454545,67.49,12.53,0.9682926829268292682926829268
