cells,characters,dropout,mutationrate,rep,method,#branches,#FN,#FP,#TP,FN_rate,FP_rate,TP_rate,parsimony-score,time,normalized-parsimony-score
50,10,0.15,0.1,11,startle_nni,14,5,9,5,0.5,0.642857,0.357143,84.88,3.66,1.171566597653554175293305728
50,10,0.15,0.1,11,startle_ilp,12,5,7,5,0.5,0.583333,0.416667,72.45,11.72,1
50,10,0.15,0.1,11,laml,13,5,8,5,0.5,0.615385,0.384615,81.87,182.32,1.130020703933747412008281573
50,10,0.15,0.1,11,paup,17,5,12,5,0.5,0.705882,0.294118,72.45,1.51,1
50,10,0.15,0.1,11,star_cdp,13,5,8,5,0.5,0.615385,0.384615,69.43,3.85,0.9583160800552104899930986888
50,10,0.15,0.1,11,paup-sc,3,7,0,3,0.7,0.0,1.0,155.92,,2.152104899930986887508626639
50,10,0.15,0.1,11,star_cdp-sc,5,7,2,3,0.7,0.4,0.6,276.53,,3.816839199447895100069013112
50,10,0.15,0.1,11,ground-truth,10,0,0,10.0,0.0,0.0,1,72.45,,1
50,10,0.15,0.1,12,cassiopeia-greedy,7,6,5,2,0.75,0.714286,0.285714,44.10,5.38,1.014259429622815087396504140
50,10,0.15,0.1,12,startle_nni,6,6,4,2,0.75,0.666667,0.333333,54.01,3.35,1.242180312787488500459981601
50,10,0.15,0.1,12,startle_ilp,7,5,4,3,0.625,0.571429,0.428571,43.48,12.60,1
50,10,0.15,0.1,12,laml,6,6,4,2,0.75,0.666667,0.333333,54.01,109.85,1.242180312787488500459981601
50,10,0.15,0.1,12,paup,8,7,7,1,0.875,0.875,0.125,43.48,1.42,1
50,10,0.15,0.1,12,star_cdp,10,5,7,3,0.625,0.7,0.3,43.48,3.42,1
50,10,0.15,0.1,12,paup-sc,1,7,0,1,0.875,0.0,1.0,202.79,,4.663983440662373505059797608
50,10,0.15,0.1,12,star_cdp-sc,4,5,1,3,0.625,0.25,0.75,69.66,,1.602115915363385464581416743
50,10,0.15,0.1,12,ground-truth,8,0,0,8.0,0.0,0.0,1,43.48,,1
50,10,0.15,0.1,13,cassiopeia-greedy,7,6,5,2,0.75,0.714286,0.285714,44.10,5.27,1.014259429622815087396504140
50,10,0.15,0.1,13,startle_nni,8,5,5,3,0.625,0.625,0.375,65.29,3.72,1.501609935602575896964121435
50,10,0.15,0.1,13,startle_ilp,7,5,4,3,0.625,0.571429,0.428571,43.48,20.05,1
50,10,0.15,0.1,13,laml,8,5,5,3,0.625,0.625,0.375,65.29,195.59,1.501609935602575896964121435
50,10,0.15,0.1,13,paup,8,7,7,1,0.875,0.875,0.125,43.48,1.39,1
50,10,0.15,0.1,13,star_cdp,10,5,7,3,0.625,0.7,0.3,43.48,3.39,1
50,10,0.15,0.1,13,paup-sc,1,7,0,1,0.875,0.0,1.0,202.79,,4.663983440662373505059797608
50,10,0.15,0.1,13,star_cdp-sc,4,5,1,3,0.625,0.25,0.75,69.66,,1.602115915363385464581416743
50,10,0.15,0.1,13,ground-truth,8,0,0,8.0,0.0,0.0,1,43.48,,1
50,10,0.15,0.1,14,cassiopeia-greedy,6,3,4,2,0.6,0.666667,0.333333,31.57,5.05,0.9214827787507297139521307647
50,10,0.15,0.1,14,startle_nni,11,4,10,1,0.8,0.909091,0.090909,45.66,3.24,1.332749562171628721541155867
50,10,0.15,0.1,14,startle_ilp,8,2,5,3,0.4,0.625,0.375,31.57,12.25,0.9214827787507297139521307647
50,10,0.15,0.1,14,laml,9,4,8,1,0.8,0.888889,0.111111,45.66,180.48,1.332749562171628721541155867
50,10,0.15,0.1,14,paup,6,2,3,3,0.4,0.5,0.5,31.57,1.68,0.9214827787507297139521307647
50,10,0.15,0.1,14,star_cdp,7,4,6,1,0.8,0.857143,0.142857,31.57,3.64,0.9214827787507297139521307647
50,10,0.15,0.1,14,paup-sc,1,4,0,1,0.8,0.0,1.0,160.23,,4.676882661996497373029772329
50,10,0.15,0.1,14,star_cdp-sc,6,1,2,4,0.2,0.333333,0.666667,59.31,,1.731173380035026269702276708
50,10,0.15,0.1,14,ground-truth,5,0,0,5.0,0.0,0.0,1,34.26,,1
50,10,0.15,0.1,15,cassiopeia-greedy,11,5,7,4,0.555556,0.636364,0.363636,76.07,5.44,1
50,10,0.15,0.1,15,startle_nni,9,3,3,6,0.333333,0.333333,0.666667,79.42,3.16,1.044038385697383988431707638
50,10,0.15,0.1,15,startle_ilp,9,6,6,3,0.666667,0.666667,0.333333,76.07,12.40,1
50,10,0.15,0.1,15,laml,8,3,2,6,0.333333,0.25,0.75,79.42,277.86,1.044038385697383988431707638
50,10,0.15,0.1,15,paup,11,5,7,4,0.555556,0.636364,0.363636,76.07,1.43,1
50,10,0.15,0.1,15,star_cdp,9,6,6,3,0.666667,0.666667,0.333333,76.07,3.86,1
50,10,0.15,0.1,15,paup-sc,2,7,0,2,0.777778,0.0,1.0,242.62,,3.189430787432627842776390167
50,10,0.15,0.1,15,star_cdp-sc,7,5,3,4,0.555556,0.428571,0.571429,114.09,,1.499802813198369922439858026
50,10,0.15,0.1,15,ground-truth,9,0,0,9.0,0.0,0.0,1,76.07,,1
50,10,0.15,0.1,16,cassiopeia-greedy,11,5,7,4,0.555556,0.636364,0.363636,76.07,6.61,1
50,10,0.15,0.1,16,startle_nni,8,5,4,4,0.555556,0.5,0.5,76.07,3.59,1
50,10,0.15,0.1,16,startle_ilp,9,6,6,3,0.666667,0.666667,0.333333,76.07,13.78,1
50,10,0.15,0.1,16,laml,8,5,4,4,0.555556,0.5,0.5,76.07,210.15,1
50,10,0.15,0.1,16,paup,11,5,7,4,0.555556,0.636364,0.363636,76.07,1.32,1
50,10,0.15,0.1,16,star_cdp,9,6,6,3,0.666667,0.666667,0.333333,76.07,3.69,1
50,10,0.15,0.1,16,paup-sc,2,7,0,2,0.777778,0.0,1.0,242.62,,3.189430787432627842776390167
50,10,0.15,0.1,16,star_cdp-sc,7,5,3,4,0.555556,0.428571,0.571429,114.09,,1.499802813198369922439858026
50,10,0.15,0.1,16,ground-truth,9,0,0,9.0,0.0,0.0,1,76.07,,1
50,10,0.15,0.1,17,cassiopeia-greedy,15,3,4,11,0.214286,0.266667,0.733333,85.29,6.33,0.9774237909695163878065551226
50,10,0.15,0.1,17,startle_nni,15,6,7,8,0.428571,0.466667,0.533333,91.58,3.53,1.049507219802887921155168462
50,10,0.15,0.1,17,startle_ilp,17,3,6,11,0.214286,0.352941,0.647059,85.29,21.82,0.9774237909695163878065551226
50,10,0.15,0.1,17,laml,14,6,6,8,0.428571,0.428571,0.571429,91.58,105.34,1.049507219802887921155168462
50,10,0.15,0.1,17,paup,16,3,5,11,0.214286,0.3125,0.6875,85.29,1.82,0.9774237909695163878065551226
50,10,0.15,0.1,17,star_cdp,17,2,5,12,0.142857,0.294118,0.705882,85.29,4.06,0.9774237909695163878065551226
50,10,0.15,0.1,17,paup-sc,10,4,0,10,0.285714,0.0,1.0,122.42,,1.402933761173504469401787761
50,10,0.15,0.1,17,star_cdp-sc,16,3,5,11,0.214286,0.3125,0.6875,85.29,,0.9774237909695163878065551226
50,10,0.15,0.1,17,ground-truth,14,0,0,14.0,0.0,0.0,1,87.26,,1
50,10,0.15,0.1,18,cassiopeia-greedy,14,5,7,7,0.416667,0.5,0.5,64.70,5.40,1
50,10,0.15,0.1,18,startle_nni,15,6,9,6,0.5,0.6,0.4,86.88,3.61,1.342812982998454404945904173
50,10,0.15,0.1,18,startle_ilp,15,5,8,7,0.416667,0.533333,0.466667,64.70,11.85,1
50,10,0.15,0.1,18,laml,14,6,8,6,0.5,0.571429,0.428571,86.88,210.01,1.342812982998454404945904173
50,10,0.15,0.1,18,paup,13,7,8,5,0.583333,0.615385,0.384615,64.70,1.51,1
50,10,0.15,0.1,18,star_cdp,16,6,10,6,0.5,0.625,0.375,64.70,4.20,1
50,10,0.15,0.1,18,paup-sc,3,9,0,3,0.75,0.0,1.0,209.45,,3.237248840803709428129829985
