"NLIN","NCHR","LABL","REPL","MTHD","NIBR_TRUE","NIBR_ESTI","FN","FP","TP","FN_RATE","FP_RATE","TP_RATE","PRECISION","RECALL","F1SCORE","RF","PSCORE","NORM_PSCORE","SECS"
50,10,"50x10",4,"Startle-NNI (Py)",8,8,4,4,4,0.5,0.5,0.5,0.5,0.5,0.5,8,49.72,1.0522751322751323,77.24
50,10,"50x10",4,"StarCDP-Rand",8,10,7,9,1,0.875,0.9,0.1,0.1,0.125,0.1111111111111111,16,47.25,1.0,3.29
50,10,"50x10",4,"StarCDP-Bias",8,9,7,8,1,0.875,0.888889,0.111111,0.1111111111111111,0.125,0.11764705882352941,15,47.25,1.0,3.34
50,10,"50x10",4,"PAUP*",8,8,5,5,3,0.625,0.625,0.375,0.375,0.375,0.375,10,47.25,1.0,1.26
50,10,"50x10",4,"PAUP*-SC",8,1,7,0,1,0.875,0.0,1.0,1.0,0.125,0.2222222222222222,7,151.09,3.197671957671958,"NA"
50,10,"50x10",4,"StarCDP-SC",8,2,6,0,2,0.75,0.0,1.0,1.0,0.25,0.4,6,146.48,3.10010582010582,"NA"
50,10,"50x10",4,"Startle-ILP",8,6,3,1,5,0.375,0.166667,0.833333,0.8333333333333334,0.625,0.7142857142857143,4,47.25,1.0,11.8
50,10,"50x10",5,"Startle-NNI (C++)",15,15,9,9,6,0.6,0.6,0.4,0.4,0.4,0.4,18,71.78,1.0897221800516168,3.49
50,10,"50x10",5,"LAML",15,17,7,9,8,0.466667,0.529412,0.470588,0.47058823529411764,0.5333333333333333,0.5,16,71.78,1.0897221800516168,650.63
50,10,"50x10",5,"Cassiopeia-Greedy",15,15,6,6,9,0.4,0.4,0.6,0.6,0.6,0.6,12,65.87,1.0,6.37
50,10,"50x10",5,"Startle-NNI (Py)",15,15,8,8,7,0.533333,0.533333,0.466667,0.4666666666666667,0.4666666666666667,0.4666666666666667,16,68.83,1.0449369971155305,68.81
50,10,"50x10",5,"StarCDP-Rand",15,19,5,9,10,0.333333,0.473684,0.526316,0.5263157894736842,0.6666666666666666,0.588235294117647,14,65.87,1.0,4.33
50,10,"50x10",5,"StarCDP-Bias",15,16,8,9,7,0.533333,0.5625,0.4375,0.4375,0.4666666666666667,0.45161290322580644,17,65.87,1.0,4.33
50,10,"50x10",5,"PAUP*",15,17,8,10,7,0.533333,0.588235,0.411765,0.4117647058823529,0.4666666666666667,0.4375,18,65.87,1.0,1.44
50,10,"50x10",5,"PAUP*-SC",15,3,12,0,3,0.8,0.0,1.0,1.0,0.2,0.3333333333333333,12,248.64,3.774707757704569,"NA"
50,10,"50x10",5,"StarCDP-SC",15,9,8,2,7,0.533333,0.222222,0.777778,0.7777777777777778,0.4666666666666667,0.5833333333333334,10,119.06,1.8074996204645513,"NA"
50,10,"50x10",5,"Startle-ILP",15,14,7,6,8,0.466667,0.428571,0.571429,0.5714285714285714,0.5333333333333333,0.5517241379310345,13,65.87,1.0,13.68
50,10,"50x10",6,"Startle-NNI (C++)",9,12,7,10,2,0.777778,0.833333,0.166667,0.16666666666666666,0.2222222222222222,0.19047619047619047,17,90.1,1.1530586127463527,3.4
50,10,"50x10",6,"LAML",9,12,7,10,2,0.777778,0.833333,0.166667,0.16666666666666666,0.2222222222222222,0.19047619047619047,17,85.71,1.0968773995392884,206.51
50,10,"50x10",6,"Cassiopeia-Greedy",9,12,3,6,6,0.333333,0.5,0.5,0.5,0.6666666666666666,0.5714285714285714,9,81.13,1.038264653186588,8.31
50,10,"50x10",6,"Startle-NNI (Py)",9,9,4,4,5,0.444444,0.444444,0.555556,0.5555555555555556,0.5555555555555556,0.5555555555555556,8,79.98,1.0235474788840544,104.57
50,10,"50x10",6,"StarCDP-Rand",9,15,4,10,5,0.444444,0.666667,0.333333,0.3333333333333333,0.5555555555555556,0.4166666666666667,14,72.77,0.9312771947786025,3.52
50,10,"50x10",6,"StarCDP-Bias",9,12,3,6,6,0.333333,0.5,0.5,0.5,0.6666666666666666,0.5714285714285714,9,72.77,0.9312771947786025,3.54
50,10,"50x10",6,"PAUP*",9,10,2,3,7,0.222222,0.3,0.7,0.7,0.7777777777777778,0.7368421052631579,5,74.6,0.954696698233939,1.43
50,10,"50x10",6,"PAUP*-SC",9,3,6,0,3,0.666667,0.0,1.0,1.0,0.3333333333333333,0.5,6,157.5,2.015613002303558,"NA"
50,10,"50x10",6,"StarCDP-SC",9,8,2,1,7,0.222222,0.125,0.875,0.875,0.7777777777777778,0.823529411764706,3,123.22,1.5769132326593294,"NA"
50,10,"50x10",6,"Startle-ILP",9,10,2,3,7,0.222222,0.3,0.7,0.7,0.7777777777777778,0.7368421052631579,5,77.16,0.9874584079856668,13.23
50,10,"50x10",7,"Startle-NNI (C++)",11,10,8,7,3,0.727273,0.7,0.3,0.3,0.2727272727272727,0.2857142857142857,15,74.58,1.0791491824627406,3.4
50,10,"50x10",7,"LAML",11,11,8,8,3,0.727273,0.727273,0.272727,0.2727272727272727,0.2727272727272727,0.2727272727272727,16,69.02,0.9986977282592967,456.73
50,10,"50x10",7,"Cassiopeia-Greedy",11,13,5,7,6,0.454545,0.538462,0.461538,0.46153846153846156,0.5454545454545454,0.5,12,71.25,1.0309651280567211,6.68
50,10,"50x10",7,"Startle-NNI (Py)",11,11,7,7,4,0.636364,0.636364,0.363636,0.36363636363636365,0.36363636363636365,0.36363636363636365,14,69.11,1.0,65.9
50,10,"50x10",7,"StarCDP-Rand",11,13,6,8,5,0.545455,0.615385,0.384615,0.38461538461538464,0.45454545454545453,0.4166666666666667,14,58.29,0.8434379973954566,4.41
50,10,"50x10",7,"StarCDP-Bias",11,11,6,6,5,0.545455,0.545455,0.454545,0.45454545454545453,0.45454545454545453,0.45454545454545453,12,58.29,0.8434379973954566,4.36
50,10,"50x10",7,"PAUP*",11,11,7,7,4,0.636364,0.636364,0.363636,0.36363636363636365,0.36363636363636365,0.36363636363636365,14,66.7,0.9651280567211692,1.44
50,10,"50x10",7,"PAUP*-SC",11,2,9,0,2,0.818182,0.0,1.0,1.0,0.18181818181818182,0.3076923076923077,9,176.26,2.5504268557372303,"NA"
50,10,"50x10",7,"StarCDP-SC",11,8,8,5,3,0.727273,0.625,0.375,0.375,0.2727272727272727,0.3157894736842105,13,103.69,1.5003617421501954,"NA"
50,10,"50x10",7,"Startle-ILP",11,10,7,6,4,0.636364,0.6,0.4,0.4,0.36363636363636365,0.38095238095238093,13,66.7,0.9651280567211692,11.32
50,10,"50x10",11,"Startle-NNI (C++)",10,14,5,9,5,0.5,0.642857,0.357143,0.35714285714285715,0.5,0.4166666666666667,14,84.88,1.171566597653554,3.66
50,10,"50x10",11,"LAML",10,13,5,8,5,0.5,0.615385,0.384615,0.38461538461538464,0.5,0.4347826086956522,13,81.87,1.1300207039337475,577.46
50,10,"50x10",11,"Cassiopeia-Greedy",10,15,6,11,4,0.6,0.733333,0.266667,0.26666666666666666,0.4,0.32,17,75.2,1.0379572118702554,5.59
50,10,"50x10",11,"Startle-NNI (Py)",10,13,5,8,5,0.5,0.615385,0.384615,0.38461538461538464,0.5,0.4347826086956522,13,72.45,1.0,106.31
50,10,"50x10",11,"StarCDP-Rand",10,17,6,13,4,0.6,0.764706,0.235294,0.23529411764705882,0.4,0.2962962962962963,19,69.43,0.9583160800552105,3.83
50,10,"50x10",11,"StarCDP-Bias",10,13,5,8,5,0.5,0.615385,0.384615,0.38461538461538464,0.5,0.4347826086956522,13,69.43,0.9583160800552105,3.85
50,10,"50x10",11,"PAUP*",10,17,5,12,5,0.5,0.705882,0.294118,0.29411764705882354,0.5,0.37037037037037035,17,72.45,1.0,1.51
50,10,"50x10",11,"PAUP*-SC",10,3,7,0,3,0.7,0.0,1.0,1.0,0.3,0.46153846153846145,7,155.92,2.1521048999309866,"NA"
50,10,"50x10",11,"StarCDP-SC",10,5,7,2,3,0.7,0.4,0.6,0.6,0.3,0.4,9,276.53,3.8168391994478945,"NA"
50,10,"50x10",11,"Startle-ILP",10,12,5,7,5,0.5,0.583333,0.416667,0.4166666666666667,0.5,0.45454545454545453,12,72.45,1.0,11.72
50,10,"50x10",12,"Startle-NNI (C++)",8,6,6,4,2,0.75,0.666667,0.333333,0.3333333333333333,0.25,0.2857142857142857,10,54.01,1.2421803127874886,3.35
50,10,"50x10",12,"LAML",8,7,6,5,2,0.75,0.714286,0.285714,0.2857142857142857,0.25,0.26666666666666666,11,54.01,1.2421803127874886,976.8
50,10,"50x10",12,"Cassiopeia-Greedy",8,7,6,5,2,0.75,0.714286,0.285714,0.2857142857142857,0.25,0.26666666666666666,11,44.1,1.0142594296228151,5.38
50,10,"50x10",12,"Startle-NNI (Py)",8,7,5,4,3,0.625,0.571429,0.428571,0.42857142857142855,0.375,0.4,9,46.54,1.0703771849126036,48.59
50,10,"50x10",12,"StarCDP-Rand",8,11,5,8,3,0.625,0.727273,0.272727,0.2727272727272727,0.375,0.3157894736842105,13,43.48,1.0,3.5
50,10,"50x10",12,"StarCDP-Bias",8,10,5,7,3,0.625,0.7,0.3,0.3,0.375,0.3333333333333333,12,43.48,1.0,3.42
50,10,"50x10",12,"PAUP*",8,8,7,7,1,0.875,0.875,0.125,0.125,0.125,0.125,14,43.48,1.0,1.42
50,10,"50x10",12,"PAUP*-SC",8,1,7,0,1,0.875,0.0,1.0,1.0,0.125,0.2222222222222222,7,202.79,4.663983440662373,"NA"
50,10,"50x10",12,"StarCDP-SC",8,4,5,1,3,0.625,0.25,0.75,0.75,0.375,0.5,6,69.66,1.6021159153633855,"NA"
50,10,"50x10",12,"Startle-ILP",8,7,5,4,3,0.625,0.571429,0.428571,0.42857142857142855,0.375,0.4,9,43.48,1.0,12.6
50,10,"50x10",13,"Startle-NNI (C++)",8,8,5,5,3,0.625,0.625,0.375,0.375,0.375,0.375,10,65.29,1.501609935602576,3.72
50,10,"50x10",13,"LAML",8,8,5,5,3,0.625,0.625,0.375,0.375,0.375,0.375,10,65.29,1.501609935602576,106.04
50,10,"50x10",13,"Cassiopeia-Greedy",8,7,6,5,2,0.75,0.714286,0.285714,0.2857142857142857,0.25,0.26666666666666666,11,44.1,1.0142594296228151,5.27
50,10,"50x10",13,"Startle-NNI (Py)",8,7,5,4,3,0.625,0.571429,0.428571,0.42857142857142855,0.375,0.4,9,46.54,1.0703771849126036,47.66
50,10,"50x10",13,"StarCDP-Rand",8,11,5,8,3,0.625,0.727273,0.272727,0.2727272727272727,0.375,0.3157894736842105,13,43.48,1.0,3.37
50,10,"50x10",13,"StarCDP-Bias",8,10,5,7,3,0.625,0.7,0.3,0.3,0.375,0.3333333333333333,12,43.48,1.0,3.39
50,10,"50x10",13,"PAUP*",8,8,7,7,1,0.875,0.875,0.125,0.125,0.125,0.125,14,43.48,1.0,1.39
50,10,"50x10",13,"PAUP*-SC",8,1,7,0,1,0.875,0.0,1.0,1.0,0.125,0.2222222222222222,7,202.79,4.663983440662373,"NA"
50,10,"50x10",13,"StarCDP-SC",8,4,5,1,3,0.625,0.25,0.75,0.75,0.375,0.5,6,69.66,1.6021159153633855,"NA"
50,10,"50x10",13,"Startle-ILP",8,7,5,4,3,0.625,0.571429,0.428571,0.42857142857142855,0.375,0.4,9,43.48,1.0,20.05
50,10,"50x10",14,"Startle-NNI (C++)",5,11,4,10,1,0.8,0.909091,0.090909,0.09090909090909091,0.2,0.125,14,45.66,1.3327495621716288,3.24
50,10,"50x10",14,"LAML",5,10,4,9,1,0.8,0.9,0.1,0.1,0.2,0.13333333333333333,13,45.66,1.3327495621716288,708.42
