"SILENCING","PRIOR","LABL","REPL","MTHD","NIBR_TRUE","NIBR_ESTI","FN","FP","TP","FN_RATE","FP_RATE","TP_RATE","PRECISION","RECALL","F1SCORE","RF","PSCORE","NORM_PSCORE","SECS","CONTRACT"
0,2,"0%",3,"StarCDP-Bias",248,248,74,74,174,0.298387,0.298387,0.701613,0.7016129032258065,0.7016129032258065,0.7016129032258065,148,2181.92,0.9943717044848629,70.52,"NONE"
0,2,"0%",3,"PAUP*",248,222,68,42,180,0.274194,0.189189,0.810811,0.8108108108108109,0.7258064516129032,0.7659574468085107,110,2183.61,0.9951418922921975,52.26,"NONE"
0,2,"0%",3,"PAUP*-SC",248,156,97,5,151,0.391129,0.032051,0.967949,0.967948717948718,0.6088709677419355,0.7475247524752475,102,"NA","NA","NA","NONE"
0,2,"0%",3,"StarCDP-SC",248,163,92,7,156,0.370968,0.042945,0.957055,0.9570552147239264,0.6290322580645161,0.7591240875912408,99,"NA","NA","NA","NONE"
0,2,"0%",4,"Startle-NNI (C++)",248,248,136,136,112,0.548387,0.548387,0.451613,0.45161290322580644,0.45161290322580644,0.45161290322580644,272,2394.76,1.0991692293569562,6.99,"NONE"
0,2,"0%",4,"LAML",248,248,134,134,114,0.540323,0.540323,0.459677,0.4596774193548387,0.4596774193548387,0.4596774193548387,268,2367.48,1.0866480011015744,4706.62,"NONE"
0,2,"0%",4,"Cassiopeia-Greedy",248,248,183,183,65,0.737903,0.737903,0.262097,0.2620967741935484,0.2620967741935484,0.2620967741935484,366,2980.93,1.3682149905907193,5.86,"NONE"
0,2,"0%",4,"StarCDP-Rand",248,248,47,47,201,0.189516,0.189516,0.810484,0.8104838709677419,0.8104838709677419,0.8104838709677419,94,2158.78,0.9908569330334605,66.18,"NONE"
0,2,"0%",4,"StarCDP-Bias",248,248,68,68,180,0.274194,0.274194,0.725806,0.7258064516129032,0.7258064516129032,0.7258064516129032,136,2158.78,0.9908569330334605,65.16,"NONE"
0,2,"0%",4,"PAUP*",248,230,63,45,185,0.254032,0.195652,0.804348,0.8043478260869565,0.7459677419354839,0.7740585774058577,108,2160.47,0.9916326249598384,51.36,"NONE"
0,2,"0%",4,"PAUP*-SC",248,170,87,9,161,0.350806,0.052941,0.947059,0.9470588235294117,0.6491935483870968,0.770334928229665,96,"NA","NA","NA","NONE"
0,2,"0%",4,"StarCDP-SC",248,181,79,12,169,0.318548,0.066298,0.933702,0.9337016574585635,0.6814516129032258,0.7878787878787877,91,"NA","NA","NA","NONE"
0,2,"0%",5,"Startle-NNI (C++)",248,248,164,164,84,0.66129,0.66129,0.33871,0.3387096774193548,0.3387096774193548,0.3387096774193548,328,2425.98,1.1363116873384045,5.55,"NONE"
0,2,"0%",5,"LAML",248,248,163,163,85,0.657258,0.657258,0.342742,0.34274193548387094,0.34274193548387094,0.34274193548387094,326,2417.85,1.1325036534642334,7845.08,"NONE"
0,2,"0%",5,"Cassiopeia-Greedy",248,248,187,187,61,0.754032,0.754032,0.245968,0.24596774193548387,0.24596774193548387,0.24596774193548387,374,2941.29,1.3776792071045827,5.59,"NONE"
0,2,"0%",5,"StarCDP-Rand",248,248,79,79,169,0.318548,0.318548,0.681452,0.6814516129032258,0.6814516129032258,0.6814516129032258,158,2107.19,0.986992730542961,67.25,"NONE"
0,2,"0%",5,"StarCDP-Bias",248,248,90,90,158,0.362903,0.362903,0.637097,0.6370967741935484,0.6370967741935484,0.6370967741935484,180,2107.19,0.986992730542961,66.26,"NONE"
