silencing,dropout,prior,rep,method,#branches,#FN,#FP,#TP,FN_rate,FP_rate,TP_rate,parsimony-score,time,normalized-parsimony-score
75,25,03,01,paup-sc,154,121,27,127,0.487903,0.175325,0.824675,1669.36,,1.031436903761554050714250408
75,25,03,01,star_cdp-sc,172,112,36,136,0.451613,0.209302,0.790698,,,
75,25,03,01,ground-truth,248,0,0,248,0.0,0.0,1.0,1618.48,,1
75,25,03,02,cassiopeia_greedy,248,166,166,82,0.669355,0.669355,0.330645,1933.81,5.69,1.239169021575449995834855213
75,25,03,02,startle_nni,248,73,73,175,0.294355,0.294355,0.705645,1579.18,2.48,1.011925129920477774146625912
75,25,03,02,laml,248,62,62,186,0.25,0.25,0.75,1567.16,3768.38,1.004222816022350807717692894
75,25,03,02,paup,212,88,52,160,0.354839,0.245283,0.754717,1547.83,43.23,0.9918363162177922169463721589
75,25,03,02,star_cdp,248,83,83,165,0.334677,0.334677,0.665323,1545.32,67.39,0.9902279295385660367686165952
75,25,03,02,star_cdp-rand,248,76,76,172,0.306452,0.306452,0.693548,1545.32,68.70,0.9902279295385660367686165952
75,25,03,02,paup-sc,156,105,13,143,0.423387,0.083333,0.916667,1571.52,,1.007016666987062419500567100
75,25,03,02,star_cdp-sc,177,96,25,152,0.387097,0.141243,0.858757,,,
75,25,03,02,ground-truth,248,0,0,248,0.0,0.0,1.0,1560.57,,1
75,25,03,03,cassiopeia_greedy,247,176,175,72,0.709677,0.708502,0.291498,1964.51,5.68,1.264179719172704925417315538
75,25,03,03,startle_nni,248,129,129,119,0.520161,0.520161,0.479839,1651.56,5.69,1.062793600947245138290068083
75,25,03,03,laml,248,131,131,117,0.528226,0.528226,0.471774,1651.65,2572.37,1.062851516750537329952766445
75,25,03,03,paup,207,114,73,134,0.459677,0.352657,0.647343,1530.43,40.25,0.9848453648052098482605953745
75,25,03,03,star_cdp,248,115,115,133,0.46371,0.46371,0.53629,1527.91,63.67,0.9832237223130284817050412489
75,25,03,03,star_cdp-rand,248,99,99,149,0.399194,0.399194,0.600806,1527.91,63.58,0.9832237223130284817050412489
75,25,03,03,paup-sc,142,134,28,114,0.540323,0.197183,0.802817,1610.03,,1.036068675272526029936035213
75,25,03,03,star_cdp-sc,163,125,40,123,0.504032,0.245399,0.754601,,,
75,25,03,03,ground-truth,248,0,0,248,0.0,0.0,1.0,1553.98,,1
75,25,03,04,cassiopeia_greedy,246,178,176,70,0.717742,0.715447,0.284553,2211.26,5.08,1.333707282355637583083028746
75,25,03,04,startle_nni,248,96,96,152,0.387097,0.387097,0.612903,1709.03,4.18,1.030790479981664435035404528
75,25,03,04,laml,248,96,96,152,0.387097,0.387097,0.612903,1706.52,4882.76,1.029276589584916585242282778
75,25,03,04,paup,213,101,66,147,0.407258,0.309859,0.690141,1647.10,55.23,0.9934377978021447785859901808
75,25,03,04,star_cdp,248,99,99,149,0.399194,0.399194,0.600806,1644.59,81.27,0.9919239074053969287928684303
75,25,03,04,star_cdp-rand,248,94,94,154,0.379032,0.379032,0.620968,1644.59,80.20,0.9919239074053969287928684303
75,25,03,04,paup-sc,141,123,16,125,0.495968,0.113475,0.886525,1702.98,,1.027141461296276191510150907
75,25,03,04,star_cdp-sc,156,119,27,129,0.479839,0.173077,0.826923,,,
75,25,03,04,ground-truth,248,0,0,248,0.0,0.0,1.0,1657.98,,1
75,25,03,05,cassiopeia_greedy,248,170,170,78,0.685484,0.685484,0.314516,1999.31,5.97,1.235720952080745149666549233
75,25,03,05,startle_nni,248,97,97,151,0.391129,0.391129,0.608871,1657.67,3.52,1.024562249293850784644576712
75,25,03,05,laml,248,90,90,158,0.362903,0.362903,0.637097,1652.56,1441.39,1.021403892628234843287410457
75,25,03,05,paup,216,97,65,151,0.391129,0.300926,0.699074,1597.53,61.94,0.9873912962859950677717824628
75,25,03,05,star_cdp,248,93,93,155,0.375,0.375,0.625,1595.02,86.82,0.9858399312702032844437027560
75,25,03,05,star_cdp-rand,248,82,82,166,0.330645,0.330645,0.669355,1595.02,85.55,0.9858399312702032844437027560
75,25,03,05,paup-sc,149,118,19,130,0.475806,0.127517,0.872483,1676.62,,1.036274746126223013356572905
75,25,03,05,star_cdp-sc,169,109,30,139,0.439516,0.177515,0.822485,,,
75,25,03,05,ground-truth,248,0,0,248,0.0,0.0,1.0,1617.93,,1
75,25,04,01,cassiopeia_greedy,247,188,187,60,0.758065,0.757085,0.242915,2908.52,7.06,1.645164939590026698040635323
75,25,04,01,startle_nni,248,71,71,177,0.28629,0.28629,0.71371,1795.06,3.99,1.015351373365310647540612697
75,25,04,01,laml,248,66,66,182,0.266129,0.266129,0.733871,1777.80,1798.34,1.005588488166885379428933436
75,25,04,01,paup,224,87,63,161,0.350806,0.28125,0.71875,1748.21,41.19,0.9888513054889361509570568804
75,25,04,01,star_cdp,248,87,87,161,0.350806,0.350806,0.649194,1742.02,57.08,0.9853500158378207158694963573
75,25,04,01,star_cdp-rand,248,78,78,170,0.314516,0.314516,0.685484,1742.02,56.54,0.9853500158378207158694963573
75,25,04,01,paup-sc,164,107,23,141,0.431452,0.140244,0.859756,1825.53,,1.032586316122901488755147292
75,25,04,01,star_cdp-sc,179,102,33,146,0.41129,0.184358,0.815642,,,
75,25,04,01,ground-truth,248,0,0,248,0.0,0.0,1.0,1767.92,,1
75,25,04,02,cassiopeia_greedy,248,192,192,56,0.774194,0.774194,0.225806,2951.23,5.46,1.705440109102676713975313208
75,25,04,02,startle_nni,248,83,83,165,0.334677,0.334677,0.665323,1773.27,4.21,1.024727243308215061716980260
75,25,04,02,laml,248,72,72,176,0.290323,0.290323,0.709677,1768.06,1433.22,1.021716517960334704821783551
75,25,04,02,paup,225,81,58,167,0.326613,0.257778,0.742222,1711.98,45.33,0.9893093245804632240765567935
